season,team,Count
Season 2005/2006,Angola,3
Season 2005/2006,Argentina,5
Season 2005/2006,Australia,4
Season 2005/2006,Brazil,5
Season 2005/2006,Costa Rica,3
Season 2005/2006,Croatia,3
Season 2005/2006,Czech Republic,3
Season 2005/2006,Côte d'Ivoire,3
Season 2005/2006,Ecuador,4
Season 2005/2006,England,5
Season 2005/2006,France,7
Season 2005/2006,Germany,7
Season 2005/2006,Ghana,4
Season 2005/2006,Iran,3
Season 2005/2006,Italy,7
Season 2005/2006,Japan,3
Season 2005/2006,Korea Republic,3
Season 2005/2006,Mexico,4
Season 2005/2006,Netherlands,4
Season 2005/2006,Paraguay,3
Season 2005/2006,Poland,3
Season 2005/2006,Portugal,7
Season 2005/2006,Saudi Arabia,3
Season 2005/2006,Serbia,3
Season 2005/2006,Spain,4
Season 2005/2006,Sweden,4
Season 2005/2006,Switzerland,4
Season 2005/2006,Togo,3
Season 2005/2006,Trinidad and Tobago,3
Season 2005/2006,Tunisia,3
Season 2005/2006,USA,3
Season 2005/2006,Ukraine,5
Season 2009/2010,Algeria,3
Season 2009/2010,Argentina,5
Season 2009/2010,Australia,3
Season 2009/2010,Brazil,5
Season 2009/2010,Cameroon,3
Season 2009/2010,Chile,4
Season 2009/2010,Côte d'Ivoire,3
Season 2009/2010,DPR Korea,3
Season 2009/2010,Denmark,3
Season 2009/2010,England,4
Season 2009/2010,France,3
Season 2009/2010,Germany,7
Season 2009/2010,Ghana,5
Season 2009/2010,Greece,3
Season 2009/2010,Honduras,3
Season 2009/2010,Italy,3
Season 2009/2010,Japan,4
Season 2009/2010,Korea Republic,4
Season 2009/2010,Mexico,4
Season 2009/2010,Netherlands,7
Season 2009/2010,New Zealand,3
Season 2009/2010,Nigeria,3
Season 2009/2010,Paraguay,5
Season 2009/2010,Portugal,4
Season 2009/2010,Serbia,3
Season 2009/2010,Slovakia,4
Season 2009/2010,Slovenia,3
Season 2009/2010,South Africa,3
Season 2009/2010,Spain,7
Season 2009/2010,Switzerland,3
Season 2009/2010,USA,4
Season 2009/2010,Uruguay,7
Season 2013/2014,Algeria,4
Season 2013/2014,Argentina,7
Season 2013/2014,Australia,3
Season 2013/2014,Belgium,5
Season 2013/2014,Bosnia and Herzegovina,3
Season 2013/2014,Brazil,7
Season 2013/2014,Cameroon,3
Season 2013/2014,Chile,4
Season 2013/2014,Colombia,5
Season 2013/2014,Costa Rica,5
Season 2013/2014,Croatia,3
Season 2013/2014,Côte d'Ivoire,3
Season 2013/2014,Ecuador,3
Season 2013/2014,England,3
Season 2013/2014,France,5
Season 2013/2014,Germany,7
Season 2013/2014,Ghana,3
Season 2013/2014,Greece,4
Season 2013/2014,Honduras,3
Season 2013/2014,Iran,3
Season 2013/2014,Italy,3
Season 2013/2014,Japan,3
Season 2013/2014,Korea Republic,3
Season 2013/2014,Mexico,4
Season 2013/2014,Netherlands,7
Season 2013/2014,Nigeria,4
Season 2013/2014,Portugal,3
Season 2013/2014,Russia,3
Season 2013/2014,Spain,3
Season 2013/2014,Switzerland,4
Season 2013/2014,USA,4
Season 2013/2014,Uruguay,4
Season 2017/2018,Argentina,4
Season 2017/2018,Australia,3
Season 2017/2018,Belgium,5
Season 2017/2018,Brazil,5
Season 2017/2018,Colombia,3
Season 2017/2018,Costa Rica,3
Season 2017/2018,Croatia,6
Season 2017/2018,Denmark,4
Season 2017/2018,Egypt,3
Season 2017/2018,England,5
Season 2017/2018,France,6
Season 2017/2018,Germany,3
Season 2017/2018,Iceland,3
Season 2017/2018,Iran,3
Season 2017/2018,Japan,3
Season 2017/2018,Korea Republic,3
Season 2017/2018,Mexico,4
Season 2017/2018,Morocco,3
Season 2017/2018,Nigeria,3
Season 2017/2018,Panama,2
Season 2017/2018,Peru,3
Season 2017/2018,Poland,2
Season 2017/2018,Portugal,4
Season 2017/2018,Russia,5
Season 2017/2018,Saudi Arabia,3
Season 2017/2018,Senegal,2
Season 2017/2018,Serbia,3
Season 2017/2018,Spain,4
Season 2017/2018,Sweden,5
Season 2017/2018,Switzerland,4
Season 2017/2018,Tunisia,2
Season 2017/2018,Uruguay,5
